ФИО,Специальность,Отделение,Email,НомерТелефона
Лебедев Андрей Иванович,Кардиолог,Кардиология,андрей.лебедева@mail.ru,+7277807170
Волкова Мария Михайловна,Гастроэнтеролог,Гастроэнтерология,мария.волков@mail.com,+7162523601
Лебедева Мария Александровна,Гастроэнтеролог,Гастроэнтерология,мария.лебедева@mail.ru,+7836659071
Соколова Мария ,Хирург-онколог,Хирургия,мария.соколова@mail.ru,+7884795922
Орлова Дмитрий Дмитриевна,Невролог,Неврология,дмитрий.орлова@mail.ru,+7155903890
Кузнецова Ольга Андреевна,Эндокринолог,Эндокринология,ольга.кузнецова@mail.ru,+7551940834
Новикова Ольга Дмитриевна,Невролог,Неврология,ольга.новикова@mail.ru,+7764584664
Новиков Алексей Дмитриевич,Невролог,Неврология,алексей.новикова@mail.ru,+7011223950
Орлова Елена ,Кардиолог,Кардиология,елена.орлова@mail.com,+7537402223
Кузнецова Елена Сергеевна,Терапевт,Терапевтическое отделение,елена.кузнецова@mail.ru,+7666533519
Новиков Дмитрий Сергеевич,Эндокринолог,Эндокринология,дмитрий.новикова@mail.com,+7306846420
Лебедева Ольга Михайловна,Эндокринолог,Эндокринология,ольга.лебедева@mail.com,+7009588440
Соколов Андрей Сергеевич,Гастроэнтеролог,Гастроэнтерология,андрей.соколова@mail.ru,+7333562507
Петрова Татьяна Александровна,Терапевт,Терапевтическое отделение,татьяна.петров@mail.ru,+7191419921
Лебедева Ольга Дмитриевна,Невролог,Неврология,ольга.лебедева@mail.ru,+7619058916
Смирнов Дмитрий Петрович,Кардиолог,Кардиология,дмитрий.смирнова@mail.ru,+7595526759
Смирнов Алексей Петрович,Хирург,Хирургия,алексей.смирнова@mail.ru,+7885017550
Петрова Татьяна Петровна,Хирург-онколог,Хирургия,татьяна.петров@mail.ru,+7448073200
Соколова Татьяна Петровна,Педиатр,Педиатрия,татьяна.соколова@mail.ru,+7893901969
Петров Сергей Михайлович,Невролог,Неврология,сергей.петров@mail.ru,+7719584004
