ФИО,Пол,Город,Улица,Строение,Почта,Датарождения,Номер Телефона
Петров Александр Иванович,m,Вологда, Дальняя, 1,Петров Александр Иванович@rus.ru,01.01.01,+90144666967
Петров Юлия Петрович,муж,Москва, пр-кт Победы, 1234/2,Петров Юлия Петрович@rus.ru,12.01.1999,+41577248738
Попов Юлия Александрович,муж,Москва, Польская, 1,Попов Юлия Александрович@rus.ru,25.02.2025,+52765950496
Иванов Иван ,м,Сокол, Польская, 1234/2,Иванов Иван @mail.ru,25.02.2025,+22116197035
Иванов Александр Александрович,f,Москва, пр-кт Победы, 1,Иванов Александр Александрович@mail.ru,13-05.2022,+82954636388
Чижов Иван Александрович,жен,Сокол, Дальняя, 11Б,Чижов Иван Александрович@gmail.com,30.02.2000,+31406731241
Попов Иван ,мужской,Москва, Дальняя, 1234/2,Попов Иван @gmail.com,01.01.01,+16228931466
Петров Юлия ,муж,Москва, пр-кт Победы, 2 к. 2,Петров Юлия @mail.ru,01.01.01,+39120070787
Еретяков Иван Александрович,м,Сокол, пр-кт Победы, 1,Еретяков Иван Александрович@mail.ru,12.01.1999,+12370272688
Попов Юлия Иванович,муж,Москва, Польская, 1,Попов Юлия Иванович@gmail.com,25.02.2025,+57615645824
Петров Анастасия Александрович,м,Вологда, пр-кт Победы, 11Б,Петров Анастасия Александрович@rus.ru,30.02.2000,+66046664008
Еретяков Иван Александрович,f,Сокол, пр-кт Победы, 11Б,Еретяков Иван Александрович@mail.ru,25.02.2025,+06476344063
Еретяков Юлия Петрович,мужской,Сокол, Дальняя, 11Б,Еретяков Юлия Петрович@gmail.com,25.02.2025,+30456351821
Попов Юлия Петрович,муж,Москва, пр-кт Победы, 1234/2,Попов Юлия Петрович@gmail.com,13-05.2022,+55393050390
Иванов Пётр Иванович,муж,Вологда, Польская, 11Б,Иванов Пётр Иванович@mail.ru,01.01.01,+03542020621
Попов Иван Иванович,м,Вологда, Дальняя, 1234/2,Попов Иван Иванович@gmail.com,25.02.2025,+69178776718
Петров Юлия Петрович,жен,Сокол, Польская, 2 к. 2,Петров Юлия Петрович@gmail.com,25.02.2025,+55313457311
Попов Юлия Алексеевич,м,Сокол, Польская, 2 к. 2,Попов Юлия Алексеевич@rus.ru,30.02.2000,+27063026143
Попов Пётр Александрович,ж,Сокол, пр-кт Победы, 1234/2,Попов Пётр Александрович@gmail.com,13-05.2022,+84486712470
Петров Александр Александрович,мужской,Сокол, Дальняя, 1,Петров Александр Александрович@rus.ru,12.01.1999,+72454999449
